file_name,url_text,id,apellido,name,segundo apellido,date,type,politicalparty,gender,birthplace,birth_year,birth_month,birth_day,age,estudios,casado con
Lacalle Pou,,SP065,Lacalle Pou, Luis,,2020,Presidente constitucional,Blanco,M,Montevideo,1973,8,11,,Derecho ,Lorena Ponce de León
Vázquez2 ,,SP064,Vázquez ,Tabaré ,Rosas,2015,Presidente constitucional,FA,M,Montevideo,1940,1,17,,medicina,María Auxiliadora Delgado
Mujica,,SP063,Mujica, José ,Cordano,2010,Presidente constitucional,FA,M,Montevideo,1935,5,20,,liceo,Lucía Topolansky
Vázquez1,,SP062,Vázquez, Tabaré ,Rosas,2005,Presidente constitucional,FA,M,Montevideo,1940,1,17,,medicina,María Auxiliadora Delgado
Batlle,,SP061,Batlle, Jorge ,Ibáñez,2000,Presidente constitucional,Colorado,M,Montevideo,1927,10,25,,Derecho ,Mercedes Menafra
Sanguinetti2,,SP060,Sanguinetti, Julio María ,Coirolo,1995,Presidente constitucional,Colorado,M,Montevideo,1936,1,6,,Derecho ,Marta Canessa
Lacalle,,SP059,Lacalle, Luis Alberto ,Herrera,1990,Presidente constitucional,Blanco,M,Montevideo,1941,7,13,,Derecho ,Julia Pou
Sanguinetti1,,SP058,Sanguinetti, Julio María ,Coirolo,1985,Presidente constitucional,Colorado,M,Montevideo,1936,1,6,,Derecho ,Marta Canessa
Addiego,,SP057,Addiego, Rafael ,Bruno,1985,Presidente interino,Suprema Corte de Justicia,M,Montevideo,1923,2,23,,Derecho ,Alicia Rey
Álvarez,,SP056,Álvarez, Gregorio  ,Armelino,1981,Presidente en períodos de facto,,M,Lavalleja,1925,11,26,,militar,María del Rosario Flores
Méndez,,SP055,Méndez, Aparicio  ,Manfredini,1976,Presidente en períodos de facto,Blanco,M,Rivera,1904,8,24,,Derecho ,Blanca Alonso
Demichelli,,SP054,Demichelli, Alberto  ,Lizaso,1976,Presidente en períodos de facto,Colorado,M,Rocha,1896,8,7,,Derecho ,Sofía Álvarez Vignoli
Bordaberry,,SP053,Bordaberry, Juan María  ,Arocena,1972,"Presidente onstitucional. A partir del 27 de Junio de 1973, Presidente de facto",Colorado,M,Montevideo,1928,6,17,,estanciero,Josefina Herrán
Pacheco Areco,,SP052,Pacheco, Jorge ,Areco,1968,Presidente constitucional,Colorado,M,Montevideo,1920,4,9,,prensa,María Angélica Klein
Gestido,,SP051,Gestido, Oscar ,Pose,1967,Presidente constitucional,Colorado,M,Montevideo,1901,11,28,,militar,Elisa de los Campos
Héber Usher,,SP050,Héber, Alberto  ,Usher,1966,Presidente del Consejo Nacional de Gobierno,Blanco,M,Montevideo,1918,5,1,,arquitectura (incompletos),Susana Füllgraff
Beltrán,,SP049,Beltrán, Washington  ,Mullin,1965,Presidente del Consejo Nacional de Gobierno,Blanco,M,Montevideo,1914,4,6,,prensa,Esther Storace Arrosa
Giannattasio,,SP048,Giannattasio, Luis  ,Finocchietti,1964,Presidente del Consejo Nacional de Gobierno,Blanco,M,Montevideo,1905,3,8,,ingeniero,
Fernández Crespo,,SP047,Fernández , Daniel  ,Crespo,1963,Presidente del Consejo Nacional de Gobierno,Blanco,M,"Libertad, San José",1901,4,28,,magisterio,Josefina Grela
Harrison,,SP046,Harrison, Faustino  ,Usoz,1962,Presidente del Consejo Nacional de Gobierno,Blanco,M,"Chamamé, Flores",1900,,,,escribano,
Haedo,,SP045,Haedo, Eduardo Victor  ,,1961,Presidente del Consejo Nacional de Gobierno,Blanco,M,"Mercedes, Soriano",1901,7,28,,prensa,
Nardone,,SP044,Nardone, Benito  ,Cetrulo,1960,Presidente del Consejo Nacional de Gobierno,Blanco,M,Montevideo,1906,11,22,,prensa,
Echegoyen,,SP043,Echegoyen, Martín R.  ,Machicote,1959,Presidente del Consejo Nacional de Gobierno,Blanco,M,Montevideo,1891,4,3,,Derecho ,
Fischer,,SP042,Fischer, Carlos L.  ,Brusoni,1958,Presidente del Consejo Nacional de Gobierno,Colorado,M,"Fray Bentos, Río Negro",1903,,,,,Blanca Cosini
Lezama,,SP041,Lezama, Arturo  ,Bagez,1957,Presidente del Consejo Nacional de Gobierno,Colorado,M,Rocha,1899,,,,,Adda Vicenta Montoro
Zubiría,,SP040,Zubiría, Alberto Fermín  ,,1956,Presidente del Consejo Nacional de Gobierno,Colorado,M,Montevideo,1901,9,10,,Derecho ,
Batlle Berres,,SP039,Batlle Berres, Luis  ,,1955,Presidente del Consejo Nacional de Gobierno,Colorado,M,Montevideo,1897,11,26,,,Matilde Ibáñez Tálice
Martínez Trueba2,,SP038,Martínez Trueba, Andrés  ,,1952,Presidente del Consejo Nacional de Gobierno,Colorado,M,Florida,1884,2,11,,Química Farmacéutica,María Aída Serra
Martínez Trueba1,,SP037,Martínez Trueba, Andrés ,,1951,Presidente constitucional,Colorado,M,Montevideo,1884,2,12,,Química Farmacéutica,María Aída Serra
